Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Gambler,Gambler,Fossil,60/62,FO,Unlimited,Near Mint,English,Common,44462,464135,$0.23,$0.23
1,Energy Search,Energy Search,Fossil,59/62,FO,Unlimited,Near Mint,English,Common,44461,461546,$0.23,$0.23
1,Ekans,Ekans,Fossil,46/62,FO,Unlimited,Near Mint,English,Common,44448,463231,$0.30,$0.30
1,Imakuni?,Imakuni?,Generations,63/83,GEN,Normal,Near Mint,English,Uncommon,113721,3084204,$0.89,$0.89
1,Misty's Determination,Misty's Determination,Hidden Fates,62/68,HIF,Reverse Holofoil,Near Mint,English,Uncommon,197717,4169684,$1.93,$1.93
1,Brock's Training,Brock's Training,Hidden Fates,55/68,HIF,Holofoil,Near Mint,English,Holo Rare,197704,4169574,$0.29,$0.29
1,Mewtwo Star,Mewtwo Star,Holon Phantoms,103/110,HP,Holofoil,Lightly Played,English,Ultra Rare,87427,2829595,$900.89,$900.89
1,Wigglytuff (32),Wigglytuff,Jungle,32/64,JU,Unlimited,Heavily Played,English,Rare,106994,2998599,$2.11,$2.11
1,Weepinbell,Weepinbell,Jungle,48/64,JU,1st Edition,Near Mint,English,Uncommon,45151,2998581,$2.10,$2.10
2,Venonat,Venonat,Jungle,63/64,JU,Unlimited,Near Mint,English,Common,45166,463897,$0.58,$0.29
1,Spearow,Spearow,Jungle,62/64,JU,Unlimited,Near Mint,English,Common,45165,461326,$0.28,$0.28
1,Rhyhorn,Rhyhorn,Jungle,61/64,JU,Unlimited,Near Mint,English,Common,45164,460894,$0.28,$0.28
1,Rapidash,Rapidash,Jungle,44/64,JU,Unlimited,Near Mint,English,Uncommon,45147,460418,$1.23,$1.23
1,Primeape,Primeape,Jungle,43/64,JU,1st Edition,Near Mint,English,Uncommon,45146,2998411,$2.50,$2.50
1,Poke Ball,Poke Ball,Jungle,64/64,JU,Unlimited,Near Mint,English,Common,45167,460298,$0.24,$0.24
1,Pikachu,Pikachu,Jungle,60/64,JU,Unlimited,Near Mint,English,Common,45163,462416,$1.22,$1.22
3,Persian,Persian,Jungle,42/64,JU,Unlimited,Near Mint,English,Uncommon,45145,461503,$1.98,$0.66
1,Parasect,Parasect,Jungle,41/64,JU,Unlimited,Near Mint,English,Uncommon,45144,460839,$0.72,$0.72
2,Paras,Paras,Jungle,59/64,JU,Unlimited,Near Mint,English,Common,45162,461935,$0.76,$0.38
1,Oddish,Oddish,Jungle,58/64,JU,Unlimited,Near Mint,English,Common,45161,460361,$0.38,$0.38
2,Nidorina,Nidorina,Jungle,40/64,JU,Unlimited,Near Mint,English,Uncommon,45143,462393,$0.80,$0.40
1,Nidoran F,Nidoran F,Jungle,57/64,JU,Unlimited,Near Mint,English,Common,45160,462998,$0.29,$0.29
1,Meowth,Meowth,Jungle,56/64,JU,Unlimited,Near Mint,English,Common,45159,461449,$0.37,$0.37
1,Marowak,Marowak,Jungle,39/64,JU,Unlimited,Near Mint,English,Uncommon,45142,461827,$0.89,$0.89
1,Mankey,Mankey,Jungle,55/64,JU,Unlimited,Near Mint,English,Common,45158,463197,$0.33,$0.33
1,Gloom,Gloom,Jungle,37/64,JU,Unlimited,Near Mint,English,Uncommon,45140,462947,$0.49,$0.49
1,Exeggutor,Exeggutor,Jungle,35/64,JU,Unlimited,Near Mint,English,Uncommon,45138,463998,$0.93,$0.93
2,Exeggcute,Exeggcute,Jungle,52/64,JU,Unlimited,Near Mint,English,Common,45155,463691,$0.66,$0.33
2,Eevee,Eevee,Jungle,51/64,JU,Unlimited,Near Mint,English,Common,45154,462082,$1.46,$0.73
3,Dodrio,Dodrio,Jungle,34/64,JU,Unlimited,Near Mint,English,Uncommon,45137,462463,$2.01,$0.67
1,Butterfree,Butterfree,Jungle,33/64,JU,Unlimited,Near Mint,English,Uncommon,45136,461679,$0.63,$0.63
1,Gengar,Gengar,Legend Maker,5/92,LM,Holofoil,Near Mint,English,Holo Rare,85674,2736781,$51.80,$51.80
1,Articuno,Articuno,Legendary Collection,002/110,LC,Holofoil,Moderately Played,English,Holo Rare,83643,2895125,$25.04,$25.04
1,Totodile - 18/25,Totodile,McDonald's 25th Anniversary Promos,018/025,MCD21,Normal,Heavily Played,English,Rare,232332,4778723,$0.27,$0.27
1,Totodile - 18/25,Totodile,McDonald's 25th Anniversary Promos,018/025,MCD21,Holofoil,Near Mint,English,Rare,232332,4778725,$2.00,$2.00
1,Torchic - 11/25,Torchic,McDonald's 25th Anniversary Promos,011/025,MCD21,Holofoil,Near Mint,English,Rare,232326,4778665,$0.90,$0.90
1,Popplio - 23/25,Popplio,McDonald's 25th Anniversary Promos,023/025,MCD21,Normal,Near Mint,English,Rare,232337,4778770,$0.24,$0.24
1,Piplup - 20/25,Piplup,McDonald's 25th Anniversary Promos,020/025,MCD21,Holofoil,Near Mint,English,Rare,232334,4778745,$2.28,$2.28
1,Cyndaquil - 10/25,Cyndaquil,McDonald's 25th Anniversary Promos,010/025,MCD21,Normal,Near Mint,English,Rare,232325,4778650,$0.29,$0.29
1,Chimchar - 12/25,Chimchar,McDonald's 25th Anniversary Promos,012/025,MCD21,Normal,Near Mint,English,Rare,232327,4778670,$0.31,$0.31
1,Kilowattrel,Kilowattrel,McDonald's Promos 2023,008/015,M23,Normal,Near Mint,English,Rare,516519,7431181,$0.17,$0.17
1,Vanilluxe (Holiday Calendar),Vanilluxe,Miscellaneous Cards & Products,045/182,MCAP,Holofoil,Near Mint,English,Uncommon,565448,8109693,$0.95,$0.95
1,Snorunt - 037/182 (Holiday Calendar),Snorunt,Miscellaneous Cards & Products,037/182,MCAP,Holofoil,Near Mint,English,Common,565449,8109698,$1.99,$1.99
1,Pikachu ex (Holiday Calendar),Pikachu ex,Miscellaneous Cards & Products,063/193,MCAP,Holofoil,Near Mint,English,Double Rare,565437,8109638,$3.53,$3.53
1,Iron Bundle (Holiday Calendar),Iron Bundle,Miscellaneous Cards & Products,062/167,MCAP,Holofoil,Near Mint,English,Uncommon,565434,8109623,$1.44,$1.44
1,Frigibax - 058/193 (Holiday Calendar),Frigibax,Miscellaneous Cards & Products,058/193,MCAP,Holofoil,Near Mint,English,Common,565439,8109648,$1.44,$1.44
1,Eiscue ex (Holiday Calendar),Eiscue ex,Miscellaneous Cards & Products,042/197,MCAP,Holofoil,Near Mint,English,Double Rare,579994,8223735,$1.20,$1.20
1,Chien-Pao ex - 061/193 (Holiday Calendar),Chien-Pao ex,Miscellaneous Cards & Products,061/193,MCAP,Holofoil,Near Mint,English,Double Rare,565431,8109608,$1.37,$1.37
1,Cetoddle - 053/193 (Holiday Calendar),Cetoddle,Miscellaneous Cards & Products,053/193,MCAP,Holofoil,Near Mint,English,Common,565438,8109643,$0.83,$0.83
2,Ancient Mew,Ancient Mew,Miscellaneous Cards & Products,1,MCAP,Holofoil,Near Mint,English,Rare,108589,3007587,$135.96,$67.98
1,Suicune (14),Suicune,Neo Revelation,14/64,N3,Unlimited Holofoil,Moderately Played,English,Holo Rare,89597,2899204,$65.84,$65.84
1,Quagsire,Quagsire,Neo Revelation,48/64,N3,1st Edition,Near Mint,English,Common,88469,2899077,$2.09,$2.09
1,Kyogre ex - 037 (EX Collector's Tins),Kyogre ex,Nintendo Promos,037,PR,Holofoil,Near Mint,English,Rare,86558,2882389,$48.02,$48.02
1,Pikachu (Baby),Pikachu,Pikachu World Collection Promos,27,PWCP,Normal,Near Mint,English,Rare,161747,3610614,$12.42,$12.42
1,Spinarak,Spinarak,Pokemon GO,006/078,PGO,Normal,Near Mint,English,Common,276944,5706345,$0.10,$0.10
1,Radiant Blastoise,Radiant Blastoise,Pokemon GO,018/078,PGO,Holofoil,Near Mint,English,Radiant Rare,274468,5668327,$5.18,$5.18
1,Natu,Natu,Pokemon GO,032/078,PGO,Normal,Near Mint,English,Common,276966,5706690,$0.07,$0.07
1,Lunatone,Lunatone,Pokemon GO,034/078,PGO,Normal,Near Mint,English,Uncommon,276972,5706830,$0.06,$0.06
1,Aipom,Aipom,Pokemon GO,056/078,PGO,Reverse Holofoil,Near Mint,English,Common,276975,5706865,$0.20,$0.20
1,Ho-Oh ex (Holo),Ho-Oh ex,POP Series 3,017/017,POP,Holofoil,Near Mint,English,Ultra Rare,97809,2867589,$57.99,$57.99
1,Grant,Grant,Prize Pack Series Cards,144/189,,Normal,Near Mint,English,Uncommon,515575,7425951,$0.11,$0.11
1,Flying Pikachu,Flying Pikachu,Rising Rivals,113/111,RR,Holofoil,Near Mint,English,Secret Rare,85535,1248440,$126.13,$126.13
1,Mewtwo ex,Mewtwo ex,Ruby and Sapphire,101/109,RS,Holofoil,Near Mint,English,Ultra Rare,87428,2882044,$98.79,$98.79
1,Houndoom (12),Houndoom,Skyridge,012/144,SK,Normal,Near Mint,English,Rare,86201,1192170,$34.22,$34.22
1,Sawk,Sawk,SM - Burning Shadows,72/147,SM03,Normal,Near Mint,English,Common,138558,3443379,$0.11,$0.11
1,Kingdra,Kingdra,SM - Burning Shadows,31/147,SM03,Holofoil,Near Mint,English,Holo Rare,138511,3442899,$0.39,$0.39
1,Bodybuilding Dumbbells,Bodybuilding Dumbbells,SM - Burning Shadows,113/147,SM03,Reverse Holofoil,Near Mint,English,Uncommon,138622,3444189,$0.18,$0.18
1,Vibrava,Vibrava,SM - Cosmic Eclipse,109/236,SM12,Normal,Near Mint,English,Uncommon,201138,4255535,$0.16,$0.16
1,Shellos,Shellos,SM - Crimson Invasion,29/111,SM04,Normal,Near Mint,English,Common,149051,3527462,$0.08,$0.08
1,Jynx,Jynx,SM - Team Up,68/181,SM9,Normal,Near Mint,English,Uncommon,183846,3963019,$0.18,$0.18
1,Alolan Dugtrio,Alolan Dugtrio,SM - Unbroken Bonds,122/214,SM10,Normal,Near Mint,English,Rare,189221,4009423,$0.39,$0.39
1,Pyukumuku,Pyukumuku,SM Base Set,47/149,SM01,Reverse Holofoil,Near Mint,English,Uncommon,126918,3261864,$0.26,$0.26
1,Decidueye,Decidueye,SM Base Set,11/149,SM01,Reverse Holofoil,Near Mint,English,Rare,126882,3261529,$0.31,$0.31
1,Shroomish,Shroomish,Supreme Victors,127,SV,Normal,Near Mint,English,Common,89186,1195155,$0.82,$0.82
1,Slowking,Slowking,SV: Prismatic Evolutions,019/131,PRE,Normal,Near Mint,English,Uncommon,610374,8488578,$0.05,$0.05
1,Heatran,Heatran,SV: Prismatic Evolutions,068/131,PRE,Normal,Near Mint,English,Uncommon,610423,8489003,$0.04,$0.04
1,Goldeen,Goldeen,SV: Prismatic Evolutions,020/131,PRE,Normal,Near Mint,English,Common,610375,8488588,$0.04,$0.04
1,Flareon,Flareon,SV: Prismatic Evolutions,013/131,PRE,Holofoil,Near Mint,English,Rare,610368,8488528,$0.16,$0.16
1,Duraludon,Duraludon,SV: Prismatic Evolutions,069/131,PRE,Normal,Near Mint,English,Common,610424,8489013,$0.04,$0.04
1,Drakloak,Drakloak,SV: Prismatic Evolutions,072/131,PRE,Normal,Near Mint,English,Common,610427,8489043,$0.12,$0.12
1,Tapu Bulu - 006/064,Tapu Bulu,SV: Shrouded Fable,006/064,SFA,Reverse Holofoil,Near Mint,English,Rare,560316,8064680,$0.12,$0.12
1,Slither Wing,Slither Wing,SV: Shrouded Fable,026/064,SFA,Reverse Holofoil,Near Mint,English,Uncommon,560336,8064870,$0.15,$0.15
1,Kyurem,Kyurem,SV: Shrouded Fable,047/064,SFA,Normal,Near Mint,English,Uncommon,560358,8065060,$0.09,$0.09
1,Joltik,Joltik,SV: Shrouded Fable,001/064,SFA,Normal,Near Mint,English,Common,560311,8064625,$0.05,$0.05
1,Galvantula,Galvantula,SV: Shrouded Fable,002/064,SFA,Normal,Near Mint,English,Uncommon,560312,8064635,$0.08,$0.08
1,Academy at Night,Academy at Night,SV: Shrouded Fable,054/064,SFA,Normal,Near Mint,English,Uncommon,560365,8065130,$0.07,$0.07
1,Sprigatito,Sprigatito,SV01: Scarlet & Violet Base Set,013/198,SV1,Reverse Holofoil,Near Mint,English,Common,475417,6909850,$0.13,$0.13
1,Shroomish,Shroomish,SV01: Scarlet & Violet Base Set,003/198,SV1,Normal,Near Mint,English,Common,487832,7024238,$0.06,$0.06
1,Pineco,Pineco,SV01: Scarlet & Violet Base Set,001/198,SV1,Normal,Near Mint,English,Common,487828,7024218,$0.06,$0.06
1,Pawmot - 076/198,Pawmot,SV01: Scarlet & Violet Base Set,076/198,SV1,Holofoil,Near Mint,English,Rare,487931,7024716,$0.09,$0.09
1,Mesagoza - 178/198,Mesagoza,SV01: Scarlet & Violet Base Set,178/198,SV1,Normal,Near Mint,English,Uncommon,488083,7025746,$0.09,$0.09
1,Medicham - 111/198,Medicham,SV01: Scarlet & Violet Base Set,111/198,SV1,Normal,Near Mint,English,Uncommon,488000,7025073,$0.05,$0.05
1,Mankey,Mankey,SV01: Scarlet & Violet Base Set,107/198,SV1,Normal,Near Mint,English,Common,487993,7025023,$0.05,$0.05
1,Magneton,Magneton,SV01: Scarlet & Violet Base Set,064/198,SV1,Normal,Near Mint,English,Common,487917,7024650,$0.07,$0.07
1,Koraidon ex - 254/198,Koraidon ex,SV01: Scarlet & Violet Base Set,254/198,SV1,Holofoil,Near Mint,English,Hyper Rare,490045,7041419,$3.77,$3.77
1,Heracross,Heracross,SV01: Scarlet & Violet Base Set,002/198,SV1,Normal,Near Mint,English,Uncommon,487831,7024233,$0.06,$0.06
1,Flittle - 102/198,Flittle,SV01: Scarlet & Violet Base Set,102/198,SV1,Normal,Near Mint,English,Common,487976,7024942,$0.04,$0.04
1,Flittle - 100/198,Flittle,SV01: Scarlet & Violet Base Set,100/198,SV1,Normal,Near Mint,English,Common,487973,7024927,$0.06,$0.06
1,Fidough - 097/198,Fidough,SV01: Scarlet & Violet Base Set,097/198,SV1,Normal,Near Mint,English,Common,487968,7024902,$0.05,$0.05
1,Drifblim,Drifblim,SV01: Scarlet & Violet Base Set,090/198,SV1,Normal,Near Mint,English,Uncommon,487956,7024842,$0.05,$0.05
2,Defiance Band,Defiance Band,SV01: Scarlet & Violet Base Set,169/198,SV1,Normal,Near Mint,English,Uncommon,488074,7025666,$0.40,$0.20
1,Dedenne - 094/198,Dedenne,SV01: Scarlet & Violet Base Set,094/198,SV1,Normal,Near Mint,English,Common,487961,7024867,$0.06,$0.06
1,Charcadet - 039/198,Charcadet,SV01: Scarlet & Violet Base Set,039/198,SV1,Reverse Holofoil,Near Mint,English,Common,487881,7026641,$0.18,$0.18
1,Blissey,Blissey,SV01: Scarlet & Violet Base Set,145/198,SV1,Reverse Holofoil,Near Mint,English,Uncommon,488033,7025365,$0.13,$0.13
1,Beach Court,Beach Court,SV01: Scarlet & Violet Base Set,167/198,SV1,Reverse Holofoil,Near Mint,English,Uncommon,488072,7025651,$0.18,$0.18
1,Basic Metal Energy,Basic Metal Energy,SV01: Scarlet & Violet Base Set,008,SV1,Normal,Near Mint,English,Common,475432,6909966,$0.02,$0.02
1,Basic Grass Energy,Basic Grass Energy,SV01: Scarlet & Violet Base Set,001,SV1,Normal,Near Mint,English,Common,475425,6909896,$0.05,$0.05
2,Basic Fighting Energy,Basic Fighting Energy,SV01: Scarlet & Violet Base Set,006,SV1,Normal,Near Mint,English,Common,475430,6909946,$0.04,$0.02
1,Togekiss,Togekiss,SV03: Obsidian Flames,085/197,OBF,Holofoil,Near Mint,English,Rare,509840,7347411,$0.15,$0.15
1,Scizor,Scizor,SV03: Obsidian Flames,141/197,OBF,Holofoil,Near Mint,English,Rare,509919,7336943,$0.14,$0.14
1,Pawniard,Pawniard,SV03: Obsidian Flames,148/197,OBF,Normal,Near Mint,English,Common,509935,7337083,$0.04,$0.04
1,Meltan,Meltan,SV03: Obsidian Flames,152/197,OBF,Normal,Near Mint,English,Common,509939,7337123,$0.06,$0.06
1,Lillipup,Lillipup,SV03: Obsidian Flames,170/197,OBF,Normal,Near Mint,English,Common,509707,7335337,$0.06,$0.06
1,Klawf ex,Klawf ex,SV03: Obsidian Flames,120/197,OBF,Holofoil,Near Mint,English,Double Rare,509869,7336615,$0.61,$0.61
1,Houndoom,Houndoom,SV03: Obsidian Flames,133/197,OBF,Normal,Near Mint,English,Uncommon,509893,7336787,$0.05,$0.05
1,Dragonair,Dragonair,SV03: Obsidian Flames,158/197,OBF,Reverse Holofoil,Near Mint,English,Uncommon,509644,7334991,$0.23,$0.23
1,Charcadet,Charcadet,SV03: Obsidian Flames,043/197,OBF,Normal,Near Mint,English,Common,509755,7335652,$0.04,$0.04
1,Brassius,Brassius,SV03: Obsidian Flames,187/197,OBF,Normal,Near Mint,English,Uncommon,509779,7335850,$0.08,$0.08
1,Altaria,Altaria,SV03: Obsidian Flames,160/197,OBF,Normal,Near Mint,English,Uncommon,509663,7335113,$0.08,$0.08
1,Yamask,Yamask,SV04: Paradox Rift,075/182,PAR,Normal,Near Mint,English,Common,523735,7495853,$0.03,$0.03
